"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","button_pressed","responses","key_press","test_part","correct_response","test_number","correct","randomID","subject","image_switchboard","scene_order"
"","vsl-grid-scene-snap","67","1637876","0.0-4.0-2.0-13.0","","[[0,0,0,0,0],[""img/obj1.png"",""img/obj9.png"",0,0,0],[""img/obj4.png"",""img/obj7.png"",0,0,0],[0,""img/obj6.png"",""img/obj12.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","68","1640890","0.0-4.0-2.0-14.0","","[[0,0,0,0,0],[0,0,""img/obj9.png"",0,0],[0,""img/obj4.png"",""img/obj1.png"",0,0],[0,0,""img/obj6.png"",""img/obj7.png"",0],[0,0,0,0,""img/obj12.png""]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","69","1643912","0.0-4.0-2.0-15.0","","[[0,0,0,0,0],[""img/obj1.png"",""img/obj2.png"",0,0,0],[0,""img/obj7.png"",""img/obj5.png"",0,0],[0,""img/obj10.png"",""img/obj12.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","70","1646926","0.0-4.0-2.0-16.0","","[[0,""img/obj9.png"",0,0,0],[""img/obj4.png"",0,0,0,0],[""img/obj1.png"",""img/obj6.png"",0,0,0],[0,""img/obj7.png"",0,0,0],[0,0,""img/obj12.png"",0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","71","1649941","0.0-4.0-2.0-17.0","","[[""img/obj1.png"",""img/obj9.png"",0,0,0],[""img/obj4.png"",""img/obj7.png"",0,0,0],[0,""img/obj6.png"",""img/obj12.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","72","1652966","0.0-4.0-2.0-18.0","","[[0,0,""img/obj9.png"",""img/obj8.png"",0],[0,""img/obj4.png"",""img/obj11.png"",0,0],[0,""img/obj3.png"",""img/obj6.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","73","1655986","0.0-4.0-2.0-19.0","","[[0,0,""img/obj2.png"",""img/obj9.png"",0],[0,0,""img/obj4.png"",""img/obj5.png"",0],[0,0,""img/obj10.png"",""img/obj6.png"",0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","74","1658999","0.0-4.0-2.0-20.0","","[[0,0,""img/obj1.png"",0,0],[0,0,0,""img/obj7.png"",0],[0,0,0,""img/obj2.png"",""img/obj12.png""],[0,0,0,0,""img/obj5.png""],[0,0,0,""img/obj10.png"",0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","75","1662014","0.0-4.0-2.0-21.0","","[[0,0,""img/obj2.png"",0,0],[0,0,""img/obj8.png"",""img/obj5.png"",0],[0,""img/obj11.png"",""img/obj10.png"",0,0],[""img/obj3.png"",0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","76","1665030","0.0-4.0-2.0-22.0","","[[0,0,0,""img/obj2.png"",0],[0,0,0,0,""img/obj5.png""],[0,0,0,""img/obj10.png"",""img/obj8.png""],[0,0,0,""img/obj11.png"",0],[0,0,""img/obj3.png"",0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","77","1668057","0.0-4.0-2.0-23.0","","[[""img/obj1.png"",0,0,0,0],[0,""img/obj7.png"",""img/obj2.png"",0,0],[0,0,""img/obj12.png"",""img/obj5.png"",0],[0,0,""img/obj10.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","78","1671076","0.0-4.0-2.0-24.0","","[[0,""img/obj9.png"",""img/obj8.png"",0,0],[""img/obj4.png"",""img/obj11.png"",0,0,0],[""img/obj3.png"",""img/obj6.png"",0,0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","79","1674088","0.0-4.0-2.0-25.0","","[[0,0,0,0,0],[0,0,0,0,0],[""img/obj2.png"",""img/obj9.png"",0,0,0],[""img/obj4.png"",""img/obj5.png"",0,0,0],[""img/obj10.png"",""img/obj6.png"",0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","80","1677107","0.0-4.0-2.0-26.0","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj2.png"",""img/obj8.png"",0],[0,0,""img/obj11.png"",""img/obj5.png"",0],[0,""img/obj3.png"",""img/obj10.png"",0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","81","1680116","0.0-4.0-2.0-27.0","","[[0,""img/obj1.png"",0,0,0],[0,0,""img/obj7.png"",""img/obj9.png"",0],[0,0,""img/obj4.png"",""img/obj12.png"",0],[0,0,0,""img/obj6.png"",0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","82","1683128","0.0-4.0-2.0-28.0","","[[0,0,0,""img/obj9.png"",0],[0,0,""img/obj4.png"",""img/obj8.png"",0],[0,0,""img/obj11.png"",""img/obj6.png"",0],[0,""img/obj3.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","83","1686148","0.0-4.0-2.0-29.0","","[[0,0,0,0,0],[0,0,0,0,0],[""img/obj1.png"",""img/obj2.png"",0,0,0],[0,""img/obj7.png"",""img/obj5.png"",0,0],[0,""img/obj10.png"",""img/obj12.png"",0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","84","1689160","0.0-4.0-2.0-30.0","","[[0,""img/obj9.png"",0,0,0],[""img/obj4.png"",""img/obj1.png"",0,0,0],[0,""img/obj6.png"",""img/obj7.png"",0,0],[0,0,0,""img/obj12.png"",0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","85","1692173","0.0-4.0-2.0-31.0","","[[0,0,0,0,0],[0,0,""img/obj2.png"",""img/obj8.png"",0],[0,0,""img/obj11.png"",""img/obj5.png"",0],[0,""img/obj3.png"",""img/obj10.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","86","1695189","0.0-4.0-2.0-32.0","","[[0,0,0,0,0],[""img/obj2.png"",0,0,0,0],[""img/obj1.png"",""img/obj5.png"",0,0,0],[""img/obj10.png"",""img/obj7.png"",0,0,0],[0,0,""img/obj12.png"",0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","87","1698207","0.0-4.0-2.0-33.0","","[[0,0,0,""img/obj9.png"",""img/obj8.png""],[0,0,""img/obj4.png"",""img/obj11.png"",0],[0,0,""img/obj3.png"",""img/obj6.png"",0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","88","1701222","0.0-4.0-2.0-34.0","","[[0,0,""img/obj8.png"",0,0],[""img/obj1.png"",""img/obj11.png"",0,0,0],[""img/obj3.png"",""img/obj7.png"",0,0,0],[0,0,""img/obj12.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","89","1704237","0.0-4.0-2.0-35.0","","[[0,0,0,""img/obj8.png"",0],[0,0,""img/obj11.png"",0,0],[0,""img/obj3.png"",""img/obj9.png"",0,0],[0,""img/obj4.png"",0,0,0],[0,0,""img/obj6.png"",0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","90","1707252","0.0-4.0-2.0-36.0","","[[0,0,0,0,0],[0,""img/obj2.png"",""img/obj8.png"",0,0],[0,""img/obj11.png"",""img/obj5.png"",0,0],[""img/obj3.png"",""img/obj10.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","91","1710269","0.0-4.0-2.0-37.0","","[[0,0,0,0,0],[0,""img/obj9.png"",""img/obj8.png"",0,0],[""img/obj4.png"",""img/obj11.png"",0,0,0],[""img/obj3.png"",""img/obj6.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","92","1713287","0.0-4.0-2.0-38.0","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,0,""img/obj2.png"",""img/obj8.png""],[0,0,0,""img/obj11.png"",""img/obj5.png""],[0,0,""img/obj3.png"",""img/obj10.png"",0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","93","1716307","0.0-4.0-2.0-39.0","","[[0,0,0,0,0],[0,0,0,0,0],[0,""img/obj1.png"",""img/obj9.png"",0,0],[0,""img/obj4.png"",""img/obj7.png"",0,0],[0,0,""img/obj6.png"",""img/obj12.png"",0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","94","1719324","0.0-4.0-2.0-40.0","","[[0,0,""img/obj1.png"",0,0],[0,0,0,""img/obj7.png"",""img/obj9.png""],[0,0,0,""img/obj4.png"",""img/obj12.png""],[0,0,0,0,""img/obj6.png""],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","95","1722345","0.0-4.0-2.0-41.0","","[[""img/obj1.png"",0,0,0,0],[0,""img/obj7.png"",""img/obj8.png"",0,0],[0,""img/obj11.png"",""img/obj12.png"",0,0],[""img/obj3.png"",0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","96","1725364","0.0-4.0-2.0-42.0","","[[0,""img/obj2.png"",""img/obj8.png"",0,0],[0,""img/obj11.png"",""img/obj5.png"",0,0],[""img/obj3.png"",""img/obj10.png"",0,0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","97","1728381","0.0-4.0-2.0-43.0","","[[0,0,""img/obj9.png"",0,0],[0,""img/obj4.png"",""img/obj1.png"",0,0],[0,0,""img/obj6.png"",""img/obj7.png"",0],[0,0,0,0,""img/obj12.png""],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","98","1731401","0.0-4.0-2.0-44.0","","[[0,0,""img/obj2.png"",""img/obj8.png"",0],[0,0,""img/obj11.png"",""img/obj5.png"",0],[0,""img/obj3.png"",""img/obj10.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
