"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","button_pressed","responses","training_vector","training_matrixRow","key_press"
"vsl-grid-scene-snap","37","257328","0.0-5.0-0.0-32.0","","","[[""img/obj5.png"",""img/obj4.png"",0],[""img/obj2.png"",0,""img/obj3.png""],[0,""img/obj11.png"",""img/obj6.png""]]","","","1,1,2,2,3,4,2,1,6","23",""
"vsl-grid-scene-snap","38","262320","0.0-5.0-0.0-33.0","","","[[""img/obj7.png"",0,""img/obj9.png""],[""img/obj10.png"",""img/obj12.png"",0],[""img/obj8.png"",""img/obj1.png"",0]]","","","1,1,1,1,3,3,3,1,5","24",""
"vsl-grid-scene-snap","39","267319","0.0-5.0-0.0-34.0","","","[[""img/obj11.png"",""img/obj6.png"",""img/obj9.png""],[""img/obj5.png"",""img/obj12.png"",0],[""img/obj2.png"",0,0]]","","","1,2,2,1,1,4,3,1,5","67",""
"vsl-grid-scene-snap","40","272328","0.0-5.0-0.0-35.0","","","[[0,""img/obj8.png"",""img/obj1.png""],[""img/obj5.png"",0,""img/obj9.png""],[""img/obj2.png"",""img/obj12.png"",0]]","","","1,2,2,2,1,3,3,2,5","37",""
"vsl-grid-scene-snap","41","277332","0.0-5.0-0.0-36.0","","","[[0,""img/obj11.png"",""img/obj6.png""],[0,""img/obj9.png"",""img/obj5.png""],[""img/obj12.png"",0,""img/obj2.png""]]","","","3,2,2,2,1,4,2,2,5","123",""
"vsl-grid-scene-snap","42","282331","0.0-5.0-0.0-37.0","","","[[0,""img/obj8.png"",""img/obj1.png""],[0,""img/obj9.png"",""img/obj5.png""],[""img/obj12.png"",0,""img/obj2.png""]]","","","3,2,2,2,1,3,2,2,5","121",""
"vsl-grid-scene-snap","43","287331","0.0-5.0-0.0-38.0","","","[[""img/obj4.png"",""img/obj8.png"",""img/obj1.png""],[0,""img/obj3.png"",""img/obj5.png""],[0,0,""img/obj2.png""]]","","","3,2,2,2,1,3,1,1,6","129",""
"vsl-grid-scene-snap","44","292329","0.0-5.0-0.0-39.0","","","[[""img/obj4.png"",0,""img/obj7.png""],[0,""img/obj3.png"",""img/obj10.png""],[0,""img/obj8.png"",""img/obj1.png""]]","","","3,1,1,2,3,3,1,1,6","92",""
"vsl-grid-scene-snap","45","297328","0.0-5.0-0.0-40.0","","","[[""img/obj8.png"",""img/obj1.png"",0],[""img/obj4.png"",0,""img/obj7.png""],[0,""img/obj3.png"",""img/obj10.png""]]","","","3,2,1,1,1,3,1,2,6","112",""
"vsl-grid-scene-snap","46","302324","0.0-5.0-0.0-41.0","","","[[0,""img/obj9.png"",""img/obj7.png""],[""img/obj12.png"",0,""img/obj10.png""],[0,""img/obj8.png"",""img/obj1.png""]]","","","3,1,1,2,3,3,2,1,5","88",""
